symbol,date,news_volume,news_tone
ETHUSDT,2021-09-23,24,2.0443122640036817
ETHUSDT,2021-09-24,26,-2.1451091812445711
ETHUSDT,2021-09-25,11,-1.823208084016688
ETHUSDT,2021-09-26,4,0.070112662211289187
ETHUSDT,2021-09-27,19,-0.61474639248827856
ETHUSDT,2021-09-28,28,-3.5621088032988459
ETHUSDT,2021-09-29,19,-0.72484820688876006
ETHUSDT,2021-09-30,27,0.93034902390813445
ETHUSDT,2021-10-01,24,0.72330174081842891
ETHUSDT,2021-10-02,7,1.2878755042950372
ETHUSDT,2021-10-03,10,-0.21359802036639991
ETHUSDT,2021-10-04,10,1.6927115641604042
ETHUSDT,2021-10-05,22,1.9963980352155588
ETHUSDT,2021-10-06,12,2.1263421399533446
ETHUSDT,2021-10-07,24,0.76919759901378193
ETHUSDT,2021-10-08,20,-0.12083415262646294
ETHUSDT,2021-10-09,5,0.90247461430193787
ETHUSDT,2021-10-10,5,0.5157256577455146
ETHUSDT,2021-10-11,12,0.85180959924686284
ETHUSDT,2021-10-12,22,0.80434345658090289
ETHUSDT,2021-10-13,12,1.0354972537698355
ETHUSDT,2021-10-14,28,1.0948520291740373
ETHUSDT,2021-10-15,13,1.3989042453120726
ETHUSDT,2021-10-16,4,0.88842835522993946
ETHUSDT,2021-10-17,9,0.21987155618475346
ETHUSDT,2021-10-18,12,1.6079513057301338
ETHUSDT,2021-10-19,21,1.3767473230109766
ETHUSDT,2021-10-20,24,1.0319637553933003
ETHUSDT,2021-10-21,17,0.95937172783985225
ETHUSDT,2021-10-22,18,0.55201926992240691
ETHUSDT,2021-10-23,6,-0.55805965040166461
ETHUSDT,2021-10-24,7,1.7843148782766143
ETHUSDT,2021-10-25,17,0.8880569067299473
ETHUSDT,2021-10-26,12,1.4905139497233248
ETHUSDT,2021-10-27,24,1.4593080815638961
ETHUSDT,2021-10-28,21,1.1629961113613083
ETHUSDT,2021-10-29,33,0.78509259478209792
ETHUSDT,2021-10-30,9,-0.37616319056035663
ETHUSDT,2021-10-31,9,0.38267383295058749
ETHUSDT,2021-11-01,20,1.4150586838877353
ETHUSDT,2021-11-02,21,1.767611230231811
ETHUSDT,2021-11-03,18,0.66460986693758584
ETHUSDT,2021-11-04,24,0.033817529140433469
ETHUSDT,2021-11-05,13,2.0325848037469778
ETHUSDT,2021-11-06,7,-0.026877069507229262
ETHUSDT,2021-11-07,10,1.081989661677307
ETHUSDT,2021-11-08,38,0.54198380649417888
ETHUSDT,2021-11-09,44,0.53463792640265206
ETHUSDT,2021-11-10,18,1.0805462380380795
ETHUSDT,2021-11-11,45,2.888887030167655
ETHUSDT,2021-11-12,31,1.3457339515065838
ETHUSDT,2021-11-13,17,0.8370602432231532
ETHUSDT,2021-11-14,8,2.014262297451006
ETHUSDT,2021-11-15,11,0.716339886747207
ETHUSDT,2021-11-16,42,0.33086910630796967
ETHUSDT,2021-11-17,30,1.1060027107742321
ETHUSDT,2021-11-18,21,2.0193987624040717
ETHUSDT,2021-11-19,11,1.2330625219935836
ETHUSDT,2021-11-20,13,1.1712153866878108
ETHUSDT,2021-11-21,5,1.3971909589462657
ETHUSDT,2021-11-22,17,1.7479443269168473
ETHUSDT,2021-11-23,18,1.6351383086955917
ETHUSDT,2021-11-24,15,1.8720825659134148
ETHUSDT,2021-11-25,9,0.39009943210754106
ETHUSDT,2021-11-26,25,2.1906404706932574
ETHUSDT,2021-11-27,10,1.9835773958579441
ETHUSDT,2021-11-28,7,1.8729783560491189
ETHUSDT,2021-11-29,23,0.38748604979397921
ETHUSDT,2021-11-30,28,1.1395118453828292
ETHUSDT,2021-12-01,25,1.1827342840964428
ETHUSDT,2021-12-02,19,1.04706944781991
ETHUSDT,2021-12-03,13,0.78139568656732883
ETHUSDT,2021-12-04,16,0.037850770225985042
ETHUSDT,2021-12-05,5,0.33903088614380172
ETHUSDT,2021-12-06,20,0.48148603764007225
ETHUSDT,2021-12-07,17,1.115150987345102
ETHUSDT,2021-12-08,28,0.22116877041315741
ETHUSDT,2021-12-09,29,1.2145502079099988
ETHUSDT,2021-12-10,20,0.48745818170607236
ETHUSDT,2021-12-11,13,0.73312524489079667
ETHUSDT,2021-12-12,8,1.1390325898525044
ETHUSDT,2021-12-13,25,1.4428067318082176
ETHUSDT,2021-12-14,27,1.5060513016217776
ETHUSDT,2021-12-15,34,1.9053531262855017
ETHUSDT,2021-12-16,16,2.5154392137529169
ETHUSDT,2021-12-17,17,1.9246422131403589
ETHUSDT,2021-12-18,12,0.1179451467769787
ETHUSDT,2021-12-19,15,0.46117016515606457
ETHUSDT,2021-12-20,25,1.5265512130306504
ETHUSDT,2021-12-21,57,1.0906438744157214
